fichier	url_image	page_source	titre	requete	date
/images/q-antiquite-07.webp	https://geo.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FGEO.2Fvar.2Fgeo.2Fstorage.2Fimages.2Fmedia.2Fimages.2Fle-mur-d-hadrien-serpente-sur-la-lande-depuis-deux-mille-ans.2F2831201-1-fre-FR.2Fle-mur-d-hadrien-serpente-sur-la-lande-depuis-deux-mille-ans.2Ejpg/1150x647/background-color/ffffff/quality/70/balade-a-la-frontiere-de-l-angleterre-et-de-l-ecosse-le-long-du-mur-d-hadrien.jpg	https://www.geo.fr/histoire/balade-a-la-frontiere-de-l-angleterre-et-de-l-ecosse-le-long-du-mur-d-hadrien-190313	Balade à la frontière de l’Angleterre et de l’Ecosse le long du mur d ...	mur d'Hadrien Angleterre photo	2026-09-24
/images/q-moyen-age-01.webp	http://statuesparadise.com/wp-content/uploads/2023/12/OVH-StatuesParadise-Statues-Charlemagne-et-ses-Leudes-Parvis-Notre-Dame-Ile-de-la-Cite05-1536x865.jpg	http://statuesparadise.com/2023/12/statue-de-charlemagne-et-ses-leudes-paris-parvis-notre-dame-ile-de-la-cite/	Statue de Charlemagne et ses Leudes – Paris Parvis Notre Dame Ile de la ...	statue équestre Charlemagne parvis Notre-Dame Paris	2026-09-24	# rejetée
/images/q-moyen-age-04.webp	https://www.bayeuxmuseum.com/wp-content/uploads/2021/06/Tapisserie-de-Bayeux-Bandeau-web-3.jpg	https://rehs.com/eng/2025/07/bayeux-tapestry-returns-home/	Bayeux Tapestry Returns Home - Rehs Galleries	tapisserie de Bayeux bataille d'Hastings	2026-09-24
/images/q-moyen-age-08.webp	https://cdn1.citylocker.paris/img/consignes-paris/bons-plans-paris/notre-dame/notre-dame-de-paris.jpg	https://www.citylocker.paris/fr/content/14-cathedrale-notre-dame-de-paris	Cathédrale Notre-Dame de Paris	cathédrale Notre-Dame de Paris façade photo	2026-09-24
/images/q-antiquite-01.webp	https://www.sciencesetavenir.fr/assets/img/2022/08/02/images_list-r4x3w1000-62e9233010ed7-23-06-22-exposition-jules-cesar-mab-henri-derus-photographie-6.jpg	https://www.sciencesetavenir.fr/archeo-paleo/archeologie/expo-cesar-redecouvert-au-musee-de-gergovie_165373	EXPO. César redécouvert à Gergovie	Jules César buste Tusculum musée photo	2026-09-24
/images/q-moyen-age-01.webp	http://statuesparadise.com/wp-content/uploads/2023/12/OVH-StatuesParadise-Statues-Charlemagne-et-ses-Leudes-Parvis-Notre-Dame-Ile-de-la-Cite08.jpg	http://statuesparadise.com/2023/12/statue-de-charlemagne-et-ses-leudes-paris-parvis-notre-dame-ile-de-la-cite/	Statue de Charlemagne et ses Leudes – Paris Parvis Notre Dame Ile de la ...	statue équestre Charlemagne parvis Notre-Dame Paris	2026-09-24	# rejetée
/images/q-moyen-age-01.webp	https://www.meisterdrucke.fr/kunstwerke/1000px/Brabant_School_-_Ms_5089-90_The_Coronation_of_Emperor_Charlemagne_(747-814)_by_Pope_St_Leo_III_(d_-_(MeisterDrucke-421198).jpg	https://www.meisterdrucke.fr/fine-art-prints/Brabant-School/421198/Le-Couronnement-de-l'Empereur-Charlemagne-(747-814)-par-le-Pape-Saint-Léon-III-(d.816)-la-veille-de-Noël-800-après-J.-C.,-des-Chroniques-des-Empereurs-par-David-Aubert,-1462.html	Le Couronnement de l'Empereur Charlemagne (747-814) par le Pape Saint ...	couronnement de Charlemagne par le pape Léon III an 800 tableau	2026-09-24
/images/q-rois-de-france-01.webp	https://cdn.futura-sciences.com/sources/images/Bapteme_de_Clovis.jpg	https://www.futura-sciences.com/sciences/questions-reponses/histoire-clovis-t-il-ete-baptise-5417/	Pourquoi Clovis a-t-il été baptisé	baptême de Clovis par saint Remi tableau	2026-09-24
/images/q-rois-de-france-03.webp	https://i.ytimg.com/vi/o6l-4_X6w70/maxresdefault.jpg	https://www.youtube.com/watch?v=o6l-4_X6w70	Portrait of Francois I, King of France by Jean Clouet, Louvre Museum ...	François Ier portrait Jean Clouet Louvre	2026-09-24	# rejetée
/images/q-rois-de-france-04.webp	https://www.baba-patrimoine.fr/wp-content/uploads/2018/09/portrait-louis-XIV-hyacinthe-rigaud-768x614.jpg	https://www.baba-patrimoine.fr/portrait-louis-xiv-hyacinthe-rigaud/	Portrait de Louis XIV en costume de sacre, de Hyacinthe Rigaud - Le b.a ...	Louis XIV portrait en costume de sacre Rigaud	2026-09-24	# rejetée
/images/q-rois-de-france-07.webp	https://www.versaillesparisphotos.fr/photos/versailles-chateau/cour-marbre-royale-chateau-versailles-jcl3.jpg	https://versaillesparisphotos.fr/chateau-versailles-exterieur.php	Le photographe du Château de Versailles vous presente ses belles photos ...	château de Versailles cour de marbre photo	2026-09-24	# rejetée
/images/q-revolution-francaise-02.webp	https://live.staticflickr.com/7188/6862945225_4f3c108bc8_b.jpg	https://www.flickriver.com/photos/magika2000/6862945225/	Attribué à Jacques-Louis David, Le Serment du Jeu de Paume, le 20 juin ...	Serment du Jeu de paume Jacques-Louis David	2026-09-24
/images/q-revolution-francaise-05.webp	https://www.fichier-pdf.fr/2016/08/17/declaration-des-droits-de-l-homme-et-du-citoyen-1789/preview-declaration-des-droits-de-l-homme-et-du-citoyen-1789-1.jpg	https://www.pdfprof.com/PDF_Image.php?idt=212054&t=24	texte déclaration des droits de l'homme et du citoyen 1789	Déclaration des droits de l'homme et du citoyen 1789 tableau Le Barbier	2026-09-24	# rejetée
/images/q-revolution-francaise-10.webp	http://1.bp.blogspot.com/-f1SJWurYy1Q/TvCpYYj3g2I/AAAAAAAAAAk/q1_FvaYzYtg/w1200-h630-p-k-no-nu/Bouchot_-_Le_general_Bonaparte_au_Conseil_des_Cinq-Cents.jpg	http://histoirealacarte.blogspot.com/2011/12/normal-0-21-false-false-false-fr-x-none.html	Histoire à la carte: François Bouchot, Le général Bonaparte au Conseil ...	Bonaparte au conseil des Cinq-Cents 18 brumaire tableau Bouchot	2026-09-24
/images/q-rois-de-france-06.webp	https://img-4.linternaute.com/94y2O5Cy1_1a5hsM63QWoqN0iro=/1080x/smart/2194b0eb6fd04c0fbddc37467ad273cb/ccmcms-linternaute/29893825.jpg	https://www.linternaute.fr/actualite/guide-histoire/2559332-bataille-de-marignan-en-1515-la-premiere-victoire-du-jeune-roi-francois-ier/	Bataille de Marignan en 1515 : la victoire de François Ier	François Ier à la bataille de Marignan tableau Fragonard	2026-09-24
/images/q-rois-de-france-04.webp	https://equestrianstatue.org/wp-content/uploads/2016/12/France-Versailles-Louis-XIV-14.jpg	https://equestrianstatue.org/louis-xiv-3/	Equestrian statue of Louis XIV in Versailles France	statue équestre de Louis XIV château de Versailles	2026-09-24
