fichier	url_image	page_source	titre	requete	date
/images/cover-histoire.webp	https://visitrome.fr/wp-content/uploads/Colisee-coucher-de-soleil.jpg	https://visitrome.fr/les-5-meilleurs-activites-visiter-rome-jeunes-couple-amoureux/13/	Les 5 Meilleurs activités pour un jeunes couple amoureux à Rome	Colisée de Rome photo coucher de soleil	2026-09-24
/images/cover-culture-generale.webp	https://cdn-s-www.lejsl.com/images/080CA818-0941-490A-A743-18C1DA2A7709/NW_raw/globes-terrestre-et-celeste-installes-dans-la-prestigieuse-salle-d-etude-de-la-bibliotheque-municipale-de-chalon-sur-saone-photo-damien-valette-1516202879.jpg	https://www.lejsl.com/edition-macon/2018/01/16/manuscrits-et-livres-anciens-les-tresors-caches-des-bibliotheques-du-departement	Saône-et-Loire. Manuscrits et livres anciens: les trésors cachés des ...	bibliothèque ancienne livres globe terrestre	2026-09-24
