fichier	url_image	page_source	titre	requete	date
/images/sub-jeux-olympiques.webp	https://www.paris-hospitality.com/wp-content/uploads/2024/06/Anneaux-Tour-Eiffel-Paris-2024-1140x760.jpg	https://www.paris-hospitality.com/paris-olympic-games/84296/	Paris Olympic Games 2024 - The Olympic Rings adorn the Eiffel Tower ...	Olympic rings Paris 2024 Eiffel Tower	2026-09-24
/images/sub-europe.webp	https://www.mapsland.com/maps/europe/large-satellite-image-photo-of-europe-at-night.jpg	https://www.mapsland.com/europe/large-satellite-image-photo-of-europe-at-night	Large satellite image photo of Europe at night | Europe | Mapsland ...	Europe from space at night photo	2026-09-24
/images/sub-drapeaux.webp	https://www.fotolip.com/wp-content/uploads/2016/06/flags-of-the-world_57745113045bf.jpg	https://fity.club/lists/n/national-flags-of-the-world-countries/	National Flags Of The World Countries	flags of the world	2026-09-24
